Hotel Name,Hotel Address,Price Details,Plan Title,Plan Description,Plan Prices
アパホテル〈相模原　橋本駅前〉,神奈川県 大和・相模原・町田西部,"4,091円～（消費税込4,500円～）",【ロングステイ】13時から翌13時　最大24時間滞在可【アパは映画もアニメも見放題】◆橋本駅徒歩3分,"■■　プラン案内　■■
チェックイン13:00～チェックアウト翌日13:00(通常10：00)までの
最大24時間ご滞在頂けるロングステイプラン♪

【アパルームシアター】
アパホテルはアパルームシアター（VOD）視聴を...","5,637円～10,182円/人（消費税込6,200円～11,200円/人）"
アパホテル〈相模原　橋本駅前〉,神奈川県 大和・相模原・町田西部,"4,091円～（消費税込4,500円～）",【素泊まり】◆橋本駅北口徒歩3分◆新宿・横浜・新横浜乗換なし！【アパは映画もアニメも見放題】,"【プラン案内】
スタンダードな素泊まりプランです。
シンプルに泊まりたい方におススメです。

【アパルームシアター】
アパホテルはアパルームシアター（VOD）視聴を無料化致しました。
・洋画、邦画、その他話題の番組を20...","4,091円～8,728円/人（消費税込4,500円～9,600円/人）"
ホテルクラウンヒルズ相模原駅前（ＢＢＨホテルグループ）,神奈川県 大和・相模原・町田西部,"3,228円～（消費税込3,550円～）",【提携飲食店で使える夕食食事券3000円分付,"ホテル近隣の提携飲食店で使える、食事券1泊3，000円分/人プレゼント！（宿泊当日のみ有効）
※寝具、食事ありのお子様もチケットをお渡しします。
※各店舗でのお会計時にチケットの提示をお願い致します。
※釣り銭、換金、再...","6,319円～6,546円/人（消費税込6,950円～7,200円/人）"
ホテルクラウンヒルズ相模原駅前（ＢＢＨホテルグループ）,神奈川県 大和・相模原・町田西部,"3,228円～（消費税込3,550円～）",提携飲食店で使える夕食食事券1000円分付【朝食付】ホテルから徒歩1分。朝食付♪,"ホテル近隣の提携飲食店で使える、食事券1泊1，000円分/人プレゼント！（宿泊当日のみ有効）
※寝具、食事ありのお子様もチケットをお渡しします。
※各店舗でのお会計時にチケットの提示をお願い致します。
※釣り銭、換金、再...","5,046円～5,273円/人（消費税込5,550円～5,800円/人）"
ホテルクラウンヒルズ相模原駅前（ＢＢＨホテルグループ）,神奈川県 大和・相模原・町田西部,"3,228円～（消費税込3,550円～）",「BBH150店舗達成記念」☆駅徒歩２分☆朝食付きビジネスベーシックプラン【当館人気No1】,"朝食が付いたベーシックプラン♪☆領収証は宿泊代のみの記載です。☆
『元気な一日は朝食から』！朝食バイキングをお召し上がり下さい♪


●新サービストピックス●
・無料の貸し出しサービス(20種以上)スタート
 ＰＯＬＡシ...","4,137円～4,364円/人（消費税込4,550円～4,800円/人）"
東横ＩＮＮ横浜線淵野辺駅南口,神奈川県 大和・相模原・町田西部,"4,200円～（消費税込4,620円～）",★スタンダードプラン 喫煙シングル,"駅前・駅近ネットワーク東横インのスタンダードな素泊まりのプランです。

※※※無料の元気朝食サービス※※※
全店で「ご当地もの」をご用意しています。
東横INNの元気朝食をお楽しみください。
(全てのお客さまに無料で提供...","6,969円～7,300円/人（消費税込7,665円～8,030円/人）"
東横ＩＮＮ横浜線淵野辺駅南口,神奈川県 大和・相模原・町田西部,"4,200円～（消費税込4,620円～）",★【無料の元気朝食付】いつでも安心価格♪ビジネス・レジャーに！ 喫煙ダブル,"ホテルチェーン東横インのスタンダードプランです

「きれいで清潔なお部屋」
「全店が同じクオリティサービス」

東横インはビジネスやレジャーなど様々な場面の拠点として、皆様に安心してご利用いただるホテルチェーンです。

...","4,678円～4,900円/人（消費税込5,145円～5,390円/人）"
東横ＩＮＮ横浜線淵野辺駅南口,神奈川県 大和・相模原・町田西部,"4,200円～（消費税込4,620円～）",★【お一人さまステイ】一人旅にもオススメ！喫煙シングル,"充実した設備と心温まる笑顔で、スタッフ一同お待ち致しております。
ズボンプレッサー貸出あり（各階にフロアに準備）、インターネット接続無料、ロビー無線ＬＡＮ等ビジネスマンにうれしい設備充実のホテルです。

※東横INNはご...","6,969円～7,300円/人（消費税込7,665円～8,030円/人）"
東横ＩＮＮ大和駅前,神奈川県 大和・相模原・町田西部,"4,582円～（消費税込5,040円～）",★【当日24時以降もご予約OK！】喫煙エコノミーダブル,"当日深夜２４時以降も予約いただけるプランです

★　全室ユニットバス完備　★　朝食無料サービス（時間はホテルへ）

他にも全室ドライヤー完備、アイロン・ズボンプレッサー貸出など過不足ないアメニティやサービスをご用意。
[...","4,582円/人（消費税込5,040円/人）"
東横ＩＮＮ大和駅前,神奈川県 大和・相模原・町田西部,"4,582円～（消費税込5,040円～）",★スタンダードプラン 喫煙シングル,"駅前・駅近ネットワーク東横インのスタンダードな素泊まりのプランです。

※※※無料の元気朝食サービス※※※
全店で「ご当地もの」をご用意しています。
東横INNの元気朝食をお楽しみください。
(全てのお客さまに無料で提供...","7,732円～8,100円/人（消費税込8,505円～8,910円/人）"
東横ＩＮＮ大和駅前,神奈川県 大和・相模原・町田西部,"4,582円～（消費税込5,040円～）",★【当日24時以降もご予約OK！】禁煙ツイン,"当日深夜２４時以降も予約いただけるプランです

★　全室ユニットバス完備　★　朝食無料サービス（時間はホテルへ）

他にも全室ドライヤー完備、アイロン・ズボンプレッサー貸出など過不足ないアメニティやサービスをご用意。
[...","5,155円/人（消費税込5,670円/人）"
東横ＩＮＮ京王線橋本駅北口,神奈川県 大和・相模原・町田西部,"3,652円～（消費税込4,017円～）",★【無料の元気朝食付】いつでも安心価格♪ビジネス・レジャーに！ 喫煙ダブル,"ホテルチェーン東横インのスタンダードプランです

「きれいで清潔なお部屋」
「全店が同じクオリティサービス」

東横インはビジネスやレジャーなど様々な場面の拠点として、皆様に安心してご利用いただるホテルチェーンです。

...","4,678円～4,900円/人（消費税込5,145円～5,390円/人）"
東横ＩＮＮ京王線橋本駅北口,神奈川県 大和・相模原・町田西部,"3,652円～（消費税込4,017円～）",★【無料の元気朝食付】いつでも安心価格♪ビジネス・レジャーに！ 禁煙デラックスツイン,"ホテルチェーン東横インのスタンダードプランです

「きれいで清潔なお部屋」
「全店が同じクオリティサービス」

東横インはビジネスやレジャーなど様々な場面の拠点として、皆様に安心してご利用いただるホテルチェーンです。

...","5,871円～6,150円/人（消費税込6,458円～6,765円/人）"
東横ＩＮＮ京王線橋本駅北口,神奈川県 大和・相模原・町田西部,"3,652円～（消費税込4,017円～）",★【当日24時以降もご予約OK！】禁煙エコノミーツイン,"当日深夜２４時以降も予約いただけるプランです

★　全室ユニットバス完備　★　朝食無料サービス（時間はホテルへ）

他にも全室ドライヤー完備、アイロン・ズボンプレッサー貸出など過不足ないアメニティやサービスをご用意。
[...","4,678円/人（消費税込5,145円/人）"
ホテルリブマックスＢＵＤＧＥＴ相模原,神奈川県 大和・相模原・町田西部,"3,091円～（消費税込3,400円～）",【10時チェックアウト】スタンダードプラン！淵野辺駅北口徒歩2分,"～最寄駅からホテルまで～
ＪＲ横浜線 淵野辺駅 北口 徒歩2分

★☆定番人気のスタンダードプラン☆★
１番人気の素泊まりプランです!!!
ビジネスから観光まで幅広い年代の方に愛されてるプランです。

◆ご案内◆
　全プ...","3,637円～11,819円/人（消費税込4,000円～13,000円/人）"
ホテルリブマックスＢＵＤＧＥＴ相模原,神奈川県 大和・相模原・町田西部,"3,091円～（消費税込3,400円～）",【10時チェックアウト】『リブ得 』ホテルリブマックス最安値のスペシャルプラン☆淵野辺駅北口徒歩2分,"～最寄駅からホテルまで～
ＪＲ横浜線 淵野辺駅 北口 徒歩2分

★☆『リブ得 』ホテルリブマックス
　　　　　　　　最安値のスペシャルプラン☆★

　　～リブマックスからの新提案～
　　リブ得でお得にお気軽に。
　　リ...","3,091円～10,046円/人（消費税込3,400円～11,050円/人）"
ホテルリブマックスＢＵＤＧＥＴ相模原,神奈川県 大和・相模原・町田西部,"3,091円～（消費税込3,400円～）",【楽天トラベル限定】楽天ポイント２０倍+12時レイトチェックアウト付きプラン【素泊り】,"～最寄駅からホテルまで～
ＪＲ横浜線 淵野辺駅 北口 徒歩2分

★☆楽天ポイントが最大２０倍貯まる☆★
通常の付与ポイントの最大２０倍ポイントが付与されるプランです！
お得にポイントを貯めて色々買っちゃいましょう♪
も...","3,819円～12,410円/人（消費税込4,200円～13,650円/人）"
